id,id_str,keyword,created_at,tweet_text,likes,retweeted,hashtags,clean_text_str,clean_text
1311958766729015298,1311958766729015298,weather,Fri Oct 02 09:18:39 +0000 2020,"RT @alhijaiely: #شاهد #برديه تضرب #طائر #العقاب #النسارى  فـ  #الولايات_المتحده
#ولايه_مونتانا

.
#امطار
.

#Thanks 
Matoaka Rolfe
#weather…",0,8,"['#شاهد', '#برديه', '#طائر', '#العقاب', '#النسارى', '#الولايات_المتحده', '#ولايه_مونتانا', '#امطار', '#Thanks', '#weather…']",: .. matoaka rolfe,"[':', '..', 'matoaka', 'rolfe']"
1311805961124814849,1311805961124814849,weather,Thu Oct 01 23:11:27 +0000 2020,@missyou_weather wdbhg,0,0,[],wdbhg,['wdbhg']
1311703482999746560,1311703482999746560,weather,Thu Oct 01 16:24:15 +0000 2020,@missyou_weather dinosaur,0,0,[],dinosaur,['dinosaur']
1311627886944825345,1311627886944825345,weather,Thu Oct 01 11:23:51 +0000 2020,#中秋の名月 場所: Shizuoka Daiichi Television https://t.co/h86QLOL3H8,12,0,['#中秋の名月'],: shizuoka daiichi television,"[':', 'shizuoka', 'daiichi', 'television']"
1311519722085797888,1311519722085797888,weather,Thu Oct 01 04:14:03 +0000 2020,Zolo emonate kadi weather Tse sona https://t.co/OCYOYzecki,2,0,[],zolo emonate kadi weather tse sona,"['zolo', 'emonate', 'kadi', 'weather', 'tse', 'sona']"
1311348751710081030,1311348751710081030,weather,Wed Sep 30 16:54:40 +0000 2020,@fluff_weather eentz,0,0,[],eentz,['eentz']
1311305270266650626,1311305270266650626,weather,Wed Sep 30 14:01:53 +0000 2020,"Weather demands.

เก็บดอกไม้ by LANDOKMAI
https://t.co/5MIbMi82L5",1,0,[],weather demands. by landokmai,"['weather', 'demands', '.', 'landokmai']"
1311003053189808128,1311003053189808128,weather,Tue Sep 29 18:00:59 +0000 2020,"Natural disaster (প্রাকিতিক দূর্যোগ)

to learn more visit - https://t.co/9tvCBOMnh3 https://t.co/k1haSMJSFm",0,0,[],natural disaster ( )to learn more visit -,"['natural', 'disaster', '(', ')', 'learn', 'visit', '-']"
1310588763643539458,1310588763643539458,weather,Mon Sep 28 14:34:45 +0000 2020,@breathIipa Oioi,0,0,[],oioi,['oioi']
1310588735717871618,1310588735717871618,weather,Mon Sep 28 14:34:38 +0000 2020,@_IsabelleDiniz_ Oioi,0,0,[],oioi,['oioi']
1310292105957388288,1310292105957388288,weather,Sun Sep 27 18:55:56 +0000 2020,oso oso weather,2,0,[],oso oso weather,"['oso', 'oso', 'weather']"
1309935885727739904,1309935885727739904,weather,Sat Sep 26 19:20:27 +0000 2020,@hazzasaysello @missyou_weather hi bestie,1,0,[],hi bestie,"['hi', 'bestie']"
1309902410303840257,1309902410303840257,weather,Sat Sep 26 17:07:26 +0000 2020,@MynameisMok @pinewoodsdojo @pomsmama @SeeAllEvil @CHHolte @AynRand_is_Dead @izzysick101 @ph00ligan @MizQue… https://t.co/YffBujd9bV,3,0,[],,[]
1311417679593472005,1311417679593472005,projections,Wed Sep 30 21:28:34 +0000 2020,RT @theklaneh: Orain arte proiekziorik zehatzenak egin dituen programak/pertsonak dio hemendik eta azaroaren 1era COVIDaren eraginez 4.234…,0,6,[],: orain arte proiekziorik zehatzenak egin dituen programak/pertsonak dio hemendik eta azaroaren era covidaren eraginez,"[':', 'orain', 'arte', 'proiekziorik', 'zehatzenak', 'egin', 'dituen', 'programak/pertsonak', 'dio', 'hemendik', 'eta', 'azaroaren', 'era', 'covidaren', 'eraginez']"
1311392077524205576,1311392077524205576,projections,Wed Sep 30 19:46:50 +0000 2020,RT @theklaneh: Orain arte proiekziorik zehatzenak egin dituen programak/pertsonak dio hemendik eta azaroaren 1era COVIDaren eraginez 4.234…,0,6,[],: orain arte proiekziorik zehatzenak egin dituen programak/pertsonak dio hemendik eta azaroaren era covidaren eraginez,"[':', 'orain', 'arte', 'proiekziorik', 'zehatzenak', 'egin', 'dituen', 'programak/pertsonak', 'dio', 'hemendik', 'eta', 'azaroaren', 'era', 'covidaren', 'eraginez']"
1311384184838119424,1311384184838119424,projections,Wed Sep 30 19:15:28 +0000 2020,RT @theklaneh: Orain arte proiekziorik zehatzenak egin dituen programak/pertsonak dio hemendik eta azaroaren 1era COVIDaren eraginez 4.234…,0,6,[],: orain arte proiekziorik zehatzenak egin dituen programak/pertsonak dio hemendik eta azaroaren era covidaren eraginez,"[':', 'orain', 'arte', 'proiekziorik', 'zehatzenak', 'egin', 'dituen', 'programak/pertsonak', 'dio', 'hemendik', 'eta', 'azaroaren', 'era', 'covidaren', 'eraginez']"
